nama_produk,jenis_produk,harga_retail,harga_diskon,rating
Hichkii Casual Cape Sleeve Embroidered Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Hichkii Tops""]",799.0,499.0,4.5
Clara Certified Katela 3 cts or 3.25 ratti 4 Prongs Sterling Silver Amethyst Ring,"[""Jewellery >> Rings""]",3530.0,1570.0,4.0
PrettyPataka Party Full Sleeve Woven Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> PrettyPataka Tops""]",2500.0,899.0,3.5
"Urban Fashion Bank Casual, Party, Festive, Lounge Wear Sleeveless Embellished Women's Top","[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Urban Fashion Bank Tops""]",600.0,365.0,3.0
Hangover Solid Round Neck Women's Sweater,"[""Clothing >> Women's Clothing >> Winter & Seasonal Wear >> Sweaters & Pullovers >> Hangover Sweaters & Pullovers""]",1599.0,499.0,1.0
TeeMoods Casual Full Sleeve Striped Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> TeeMoods Tops""]",999.0,899.0,4.0
Ditu&Kritu Warrior Aviator Sunglasses,"[""Sunglasses""]",999.0,399.0,4.7
Claude Lorrain Black Casuals Shoes,"[""Footwear >> Women's Footwear >> Casual Shoes""]",2750.0,1299.0,5.0
Gritstones Solid Women's Track Pants,"[""Clothing >> Women's Clothing >> Sports & Gym Wear >> Track Pants >> Gritstones Track Pants""]",599.0,499.0,3.0
Gritstones Solid Women's Track Pants,"[""Clothing >> Women's Clothing >> Sports & Gym Wear >> Track Pants >> Gritstones Track Pants""]",599.0,499.0,3.0
Gritstones Solid Women's Track Pants,"[""Clothing >> Women's Clothing >> Sports & Gym Wear >> Track Pants >> Gritstones Track Pants""]",599.0,499.0,2.0
Gritstones Solid Women's Track Pants,"[""Clothing >> Women's Clothing >> Sports & Gym Wear >> Track Pants >> Gritstones Track Pants""]",599.0,499.0,3.0
Ozel Studio Casual Full Sleeve Printed Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Ozel Studio Tops""]",985.0,591.0,3.0
TeeMoods Casual Full Sleeve Striped Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> TeeMoods Tops""]",1399.0,699.0,1.0
Nishtaa Yellow Gold 22 K Ring,"[""Jewellery >> Rings""]",7810.0,7420.0,5.0
BownBee Girl's Gathered Dress,"[""Clothing >> Kids' Clothing >> Girls Wear >> Dresses & Skirts >> Dresses >> BownBee Dresses""]",999.0,799.0,5.0
Fundoo T Full Sleeve Solid Men's Sweatshirt,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Sweatshirts >> Fundoo T Sweatshirts""]",1998.0,749.0,5.0
Herberto Girl's A-line Dress,"[""Clothing >> Kids' Clothing >> Girls Wear >> Dresses & Skirts >> Herberto Dresses & Skirts""]",1599.0,649.0,4.0
Cation Casual 3/4 Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Cation Tops""]",1998.0,950.0,2.0
